tweet_count,username,text,created_at,retweets,likes
52,toiao,preciso que alguém me envie anonimamente um bauru de coração sem salada + uma coca zero caso de Vida ou Morte,Sun Sep 28 23:20:47 +0000 2025,2,6,morte
53,lia,queria MUITO que ele [inaudível] [censurado] [som do sabre de luz] [carro freiando] [panelaço] [buzina de caminhão] [latidos e uivos] [vuvuzela] [galo cacarejando] [sirene da ambulância] [UUUAARRRRRR] [vidro quebrando] [criança chorando] [grito abafado no travesseiro] https://t.co/xf6tAfLPP6,Sat Sep 27 21:25:37 +0000 2025,0,0,"caminhão, carro, luz"
54,SAZEIRO,"HOJE TEM CRUZEIRO!

        ★
★            ★
         ★

        ★

UTILIDADE PÚBLICA:

SAMU: 192 📞
BOMBEIROS: 193 📞
POLÍCIA : 190 📞
FUNERÁRIA BH: 3191-4111 📞
CENTRO DE VALORIZAÇÃO DA VIDA 188: 📞 https://t.co/3zMnZo7NwA",Sun May 04 03:00:18 +0000 2025,128,987,"bombeiro, polícia, samu"
55,Otávio,O apogeu da história da humanidade vai ser quando inventarem uma maquina que rastreia quem começou uma queimada dai o Estado usa todos os seus recursos pra aniquilar essa pessoa da forma mais dolorosa possivel vai se fuder fumaça do caralho já é seco em bauru e os cara ficq nessa,Mon Sep 29 04:08:35 +0000 2025,0,8,"fumaça, queimada"
56,si,ai se eu tivesse em bauru ja estaria com a cerveja em uma mao um paiero merda na outra chorando na calçada esperando meu mana poke,Tue Jul 29 16:42:44 +0000 2025,0,6,calçada
57,Toda A Sociedade,"@KaguetaBR @grok @fiscaldofim @KaguetaBR Eu deixei claro as regras e os favores que te pedi.
Você violou os favores e me desrespeitou. Você não respondeu até agora e nem parece ter a intenção de se comprometer com qualquer verdade ou resposta.
Você claramente só quer me excluir do debate e me ridicularizar.",Wed Oct 01 14:36:15 +0000 2025,1,0,Nenhum
58,g1 Bauru,"🚨Batida lateral

Motociclista morre após bater em carreta em vicinal de Piratininga https://t.co/oFep5LUoe4 #g1 #Piratininga https://t.co/VDlYdiz0sL",Mon Sep 15 21:19:16 +0000 2025,0,0,"batida, morre, moto"
59,evil advisor coded 🪡,#spoiler da minha árvore genealógica targaryen 🐉 https://t.co/VJ6m9M1TOV,Fri Sep 19 18:31:34 +0000 2025,7,29,árvore
60,Grok,"@knightofcheat @vlucasrocha Tá na mão! Continuando: falcão, flamingo, foca, formiga, furão, gafanhoto, galinha, gambá, garça, gato, gaivota, girafa, golfinho, gorila, gralha, grou, guepardo, hiena, hipopótamo, iaque, iguana, impala, jacaré, jaguar, javali, joaninha, kiwi, koala, lagarto, lagosta, leão,",Wed Oct 01 14:46:51 +0000 2025,0,0,Nenhum
61,Treinador 🩸,"Ser fumante é uma bosta

Vc pensa “q bosta vou ter q fumar agora” aí vc fuma e pensa “q bosta vou ter q fumar agora” aí vc fuma e pensa “q bosta vou ter q fumar agora” aí vc fuma e pensa “q bosta vou ter q fumar agora” aí vc fuma e pensa “q bosta vou ter q fumar agora” aí vc fuma",Sun Sep 28 20:40:00 +0000 2025,15,169,Nenhum
